mean_norm_loaded_hipjoint_moment,std_norm_loaded_hipjoint_moment,mean_norm_loaded_kneejoint_moment,std_norm_loaded_kneejoint_moment,mean_norm_loaded_hipjoint_power,std_norm_loaded_hipjoint_power,mean_norm_loaded_kneejoint_power,std_norm_loaded_kneejoint_power,mean_loaded_hipjoint_speed,std_loaded_hipjoint_speed,mean_loaded_kneejoint_speed,std_loaded_kneejoint_speed,mean_loaded_hipjoint_kinematics,std_loaded_hipjoint_kinematics,mean_loaded_kneejoint_kinematics,std_loaded_kneejoint_kinematics,mean_norm_noload_hipjoint_moment,std_norm_noload_hipjoint_moment,mean_norm_noload_kneejoint_moment,std_norm_noload_kneejoint_moment,mean_norm_noload_hipjoint_power,std_norm_noload_hipjoint_power,mean_norm_noload_kneejoint_power,std_norm_noload_kneejoint_power,mean_noload_hipjoint_speed,std_noload_hipjoint_speed,mean_noload_kneejoint_speed,std_noload_kneejoint_speed,mean_noload_hipjoint_kinematics,std_noload_hipjoint_kinematics,mean_noload_kneejoint_kinematics,std_noload_kneejoint_kinematics
0.703907984,0.22878042,-0.248442662,0.1016545,-0.199709515,0.240832083,0.704532664,0.336192413,-0.238352765,0.295271699,-2.793489512,0.470629141,37.98061671,4.230573366,11.28336131,3.678044843,0.683276104,0.185140086,-0.204868126,0.075339824,-0.138681002,0.33502684,0.688617164,0.334858939,-0.130943423,0.4943067,-3.250385595,0.773389626,32.06770863,4.19964578,10.77999002,2.489132866
0.699890999,0.228754152,-0.234838513,0.101157374,-0.198009977,0.240031848,0.668134039,0.330686981,-0.237109278,0.296532748,-2.802381631,0.469090202,37.99675395,4.230483829,11.47455876,3.693452553,0.67591839,0.187989506,-0.189482569,0.074881299,-0.134094064,0.32671451,0.638014127,0.324827868,-0.1250364,0.488439541,-3.249745006,0.772375224,32.07530555,4.194187454,10.99006474,2.489910123
0.696652525,0.228876943,-0.221368752,0.100725761,-0.196206672,0.239312365,0.631610037,0.325701643,-0.235502527,0.297793478,-2.809985838,0.467721067,38.01280383,4.230280464,11.66634543,3.708755652,0.669332673,0.190925742,-0.174311815,0.074372429,-0.129498817,0.31880487,0.587913379,0.315125846,-0.118873881,0.482364263,-3.247818455,0.771283978,32.08251853,4.189248121,11.2000647,2.49120016
0.694209605,0.22917193,-0.208050191,0.100372938,-0.194311748,0.238678907,0.595077249,0.32126371,-0.233538191,0.299041761,-2.816359411,0.466503261,38.02874372,4.229974725,11.85861593,3.723942961,0.66354072,0.193919904,-0.159369534,0.073813174,-0.12488932,0.311298882,0.538413498,0.30574312,-0.112458246,0.476089596,-3.244642831,0.770104179,32.08933641,4.184823843,11.40990507,2.492994536
0.692597098,0.229635767,-0.194896333,0.100108337,-0.19232801,0.2381419,0.558618907,0.317389172,-0.231205703,0.300268392,-2.821504452,0.465439081,38.04455778,4.229571405,12.05130288,3.739002833,0.65855197,0.19696646,-0.14465782,0.073206525,-0.120261102,0.304170294,0.489564515,0.296657884,-0.105781446,0.469623769,-3.240224429,0.768825711,32.0957292,4.180916071,11.61951084,2.495288895
0.691856083,0.230252864,-0.181922506,0.099942988,-0.190257835,0.237715282,0.522335577,0.314086672,-0.228495331,0.301467965,-2.825422565,0.464512514,38.06020635,4.22906938,12.24430357,3.753949258,0.654368873,0.200017018,-0.130178798,0.072545505,-0.115595507,0.297399075,0.44141839,0.287821114,-0.098841864,0.462979062,-3.234575468,0.767457837,32.1016701,4.17752936,11.82878941,2.498073819
0.691966391,0.231016107,-0.16912844,0.099880749,-0.188096124,0.237404961,0.486277127,0.311336328,-0.225417654,0.302635161,-2.828164989,0.463704458,38.07566124,4.228477733,12.43752941,3.768773057,0.650972717,0.203041734,-0.115927654,0.071829903,-0.1108767,0.290964224,0.39400928,0.279220103,-0.091641856,0.456164167,-3.227739876,0.765981363,32.10715093,4.174649451,12.0376633,2.501343305
0.692896145,0.231905739,-0.156494955,0.099927202,-0.185827971,0.237205409,0.450423106,0.309115458,-0.221960544,0.303761747,-2.829740128,0.463008981,38.09090797,4.227802434,12.63092694,3.783466391,0.648336067,0.206017286,-0.101894565,0.071059592,-0.106085787,0.284828249,0.347344675,0.270830957,-0.084186854,0.44919321,-3.219762658,0.764381627,32.11216115,4.172270316,12.24605801,2.505085612
0.694615507,0.232882038,-0.144002449,0.100086705,-0.183437132,0.237108045,0.414760501,0.307393309,-0.218110626,0.304831095,-2.83014885,0.462410834,38.10591819,4.227046891,12.82440769,3.798018487,0.64643371,0.208913499,-0.088069269,0.070235735,-0.101198002,0.278957077,0.301426022,0.262645621,-0.076479041,0.442080374,-3.210681907,0.762660114,32.11668771,4.170387462,12.45389881,2.509291249
0.697066984,0.233914979,-0.131630379,0.100357888,-0.180905599,0.237106758,0.379280567,0.306138395,-0.213882368,0.305850399,-2.829440454,0.461894238,38.12066043,4.226225208,13.01787964,3.812435008,0.645236207,0.211697807,-0.074438991,0.069363407,-0.096184082,0.273321235,0.25623822,0.254681824,-0.068516028,0.434839709,-3.200518935,0.760821806,32.12071795,4.168991296,12.66112563,2.513962716
